股票代號,股票名稱,持有股數,Date
2345,智邦,2377000,0,2026-01-06
2308,台達電,2602000,0,2026-01-06
2368,金像電,3885000,0,2026-01-06
3665,貿聯-KY,1562848,0,2026-01-06
6274,台燿,4877000,0,2026-01-06
6223,旺矽,1069000,0,2026-01-06
2454,聯發科,1383000,0,2026-01-06
2317,鴻海,8470000,0,2026-01-06
3653,健策,758000,0,2026-01-06
8299,群聯,1294000,0,2026-01-06
3661,世芯-KY,446000,0,2026-01-06
6805,富世達,1016000,0,2026-01-06
8210,勤誠,1498000,0,2026-01-06
5274,信驊,142000,0,2026-01-06
2404,漢唐,806000,0,2026-01-06
50,元大台灣50,10871000,0,2026-01-06
2059,川湖,232000,0,2026-01-06
2449,京元電子,2133000,0,2026-01-06
8358,金居,1668000,0,2026-01-06
5536,聖暉*,513000,0,2026-01-06
6139,亞翔,627000,0,2026-01-06
52,富邦科技,9274000,0,2026-01-06
6191,精成科,3138000,0,2026-01-06
3533,嘉澤,253000,0,2026-01-06
1303,南亞,5323000,0,2026-01-06
2313,華通,2651000,0,2026-01-06
2327,國巨*,985000,0,2026-01-06
3715,定穎投控,2002960,0,2026-01-06
3211,順達,570000,0,2026-01-06
1319,東陽,1575000,0,2026-01-06
6515,穎崴,51000,0,2026-01-06
3515,華擎,585000,0,2026-01-06
2354,鴻準,1507000,0,2026-01-06
5347,世界,958000,0,2026-01-06
3217,優群,326000,0,2026-01-06
8996,高力,51000,0,2026-01-06
3008,大立光,3000,0,2026-01-06
6510,精測,2000,0,2026-01-06
3044,健鼎,1000,0,2026-01-06
2357,華碩,2000,0,2026-01-06
2439,美律,2000,0,2026-01-06
4958,臻鼎-KY,1000,0,2026-01-06
3045,台灣大,2000,0,2026-01-06
3081,聯亞,1000,0,2026-01-06
3231,緯創,1000,0,2026-01-06
2884,玉山金,2010,0,2026-01-06
3583,辛耘,2000,0,2026-01-06
3711,日月光投控,2000,0,2026-01-06
